,cv,type,ru,,
,илемле,nonetype,красивая ,,
,иккен,nonetype,оказывается ,,
,ен,nonetype,сторона , бок ,,
,ирех,nonetype,рано устром ,,
,шырать,nonetype,ищет ,,
,манăн хĕрĕм,nonetype,моя дочь ,,
,манăн ывăлăм,nonetype,мой сын ,,
,хупать,nonetype,закрывает ,,
,çулçа кăлармарĕ,nonetype,не распустил листья ,,
,мĕншĕн,nonetype,почему ,,
,ма,noun,почему ,,
,мĕн пирки,nonetype,почему ,,
,мĕн тума,nonetype,почему ,,
,мӗншӗн,nonetype,почему ,,
,хăйма,nonetype,сметана ,,
,çарăк,nonetype,репа ,,
,ҫарӑк,noun,репа ,,
,хăнана,nonetype,в гости ,,
,пуçтарнă,nonetype,собирали ,,
,çиетĕп,nonetype,ем ,,
,шкул,noun,школа ,,
,шкулта,nonetype,школа ,,
,Шкул,nonetype,школа ,,
,класра,nonetype,класс ,,
,пырать,nonetype,идёт ,,
,сĕтел патне,nonetype,к столу ,,
,парта хушшине,nonetype,за парту ,,
,çĕвĕçĕ,nonetype,швея ,,
,савăнатăп,nonetype,радуюсь ,,
,тĕрлеме пĕлсен кăна,nonetype,если знаешь, как вышивать ,,
,саннăн пиччÿ,nonetype,твой брат ,,
,санран,nonetype,от тебя ,,
,пӳрне,noun,палец ,,
,пÿрне,nonetype,палец ,,
,Пӳрне,nonetype,палец ,,
,выçа,nonetype,голодные ,,
,кулянать,nonetype,переживает ,,
,е,nonetype,или ,,
,мана,nonetype,мне , меня ,,
,кан,nonetype,отдыхать ,,
,щурална кун ячепе,nonetype,с днём рождения ,,
,тавралах щулталаке,nonetype,год окружающий среды ,,
,сыва пул,nonetype,до свидания ,,
,яра куна,nonetype,весь, целый день, в течение всего, целого дня ,,
,пĕтĕм кун,nonetype,весь, целый день, в течение всего, целого дня ,,
,хушамат,nonetype,фамилия ,,
,хушамаг,nonetype,фамилия ,,
,тавраш,noun,фамилия ,,
,урамра çитрĕ ăшă çуркунне,nonetype,на улице наступила тёплая весна ,,
,до свидания,nonetype,сыва пул ,,
,привет,nonetype,салам ,,
,çак,nonetype,вешать ,,
,витрĕ,nonetype,ведро ,,
,витре,nonetype,ведро ,,
,Хел мучи северта пуранать,nonetype,Дед мороз живет на севере. ,,
,айне,nonetype,под ( что-то) ,,
,атă,nonetype,сапог ,,
,ташă,nonetype,танец ,,
,çĕрле юр çÿнă,nonetype,ночью снег шёл ,,
,парантак,nonetype,бурундук ,,
,ар,verb,мужчина ,,
,арçын,nonetype,мужчина ,,
,ар ҫын,nonetype,мужчина ,,
,аса ил,nonetype,вспоминать ,,
,асăн,nonetype,вспоминать ,,
,пушă,nonetype,свободное время ,,
,ерçÿ,nonetype,свободное время ,,
,сон,nonetype,тĕлĕк ,,
,санăн хĕрÿ,nonetype,твоя дочь ,,
,санăн ывăлу,nonetype,твой сын ,,
,кимĕ,nonetype,лодка ,,
,кимӗ,noun,лодка ,,
,шăнкăрч йăви,nonetype,скворечник ,,
,килти кайăк-кĕшĕк,nonetype,домашние птицы ,,
,хуçнă,nonetype,сломал ,,
,вăрман хуралçи,nonetype,лесник ,,
,ула,nonetype,пёстрый ,,
,ула,nonetype,пёстрый ,,
,ула-чăла,nonetype,пёстрый ,,
,чăпар,nonetype,пёстрый ,,
,йĕлме,nonetype,ильм ,,
,хăна,nonetype,гость ,,
,пуçтарать,nonetype,собирает ,,
,кайнă,nonetype,пошли ,,
,тумланать,nonetype,одевается ,,
,ташша ăста,nonetype,мастер плясать ,,
,маттур,nonetype,молодец ,,
,доска умне,nonetype,к доске ,,
,сĕтел патĕнче,nonetype,около стола ,,
,парта,nonetype,(парта) ,,
,доска,nonetype,(доска) ,,
,çĕлет,nonetype,шьёт ,,
,çĕве машини,nonetype,швейная машина ,,
,тăхăнма пĕлсен кăна,nonetype,если знаешь , как надевать ,,
,санăн аннÿ,nonetype,твоя мама ,,
,манăн пичче,nonetype,мой брат ,,
,унăн пиччĕшĕ,nonetype,его ( её ) брат ,,
,кăвакарчăн,nonetype,голубь ,,
,уйăп,nonetype,снегирь ,,
,Уйӑп,nonetype,снегирь ,,
,ăна,nonetype,ей ( ему ) ,,
,акăш,nonetype,лебединый ,,
,аллă,nonetype,пятьдесят ,,
,аллӑ,determiner,пятьдесят ,,
,шел,nonetype,жаль ,,
,чуп,nonetype,бежать ,,
,илемле ача,nonetype,красивая девочка ,,
,ман,nonetype,1. мой 9 моя , моё , мои) ,,
,камсăр,nonetype,без кого ,,
,каллех,nonetype,опять , снова ,,
,паян кунепе пула тытрамар,nonetype,сегодня целый день мы ловили рыбу ,,
,Добрый день!,nonetype,ыра кун! ,,
,тăмана,nonetype,сова ,,
,çине,nonetype,на ( что-то). ,,
,така,noun,баран ,,
,тасат,nonetype,чистить ,,
,хыр,nonetype,чистить ,,
,çĕрле,nonetype,ночьной ,,
,пушă,nonetype,свободное ,,
,унăн хĕрĕ,nonetype,его ( её) дочь ,,
,ирĕлет,nonetype,тает ,,
,чĕкеç,nonetype,ласточка ,,
,тăри,nonetype,жаворонок ,,
,урамра,nonetype,( на) улице ,,
,тытать,nonetype,поймает ,,
,кăçăл,nonetype,в этом году ,,
,кăçал,nonetype,в этом году ,,
,пахча,noun,огород ,,
,анкарти,noun,огород ,,
,карта,nonetype,огород ,,
,акать,nonetype,сеет ,,
,çум,nonetype,сорняк ,,
,çумлать,nonetype,пропалывает ,,
,унтан,nonetype,потом ,,
,кайран,noun,потом ,,
,юрра ăста,nonetype,мастер петь ,,
,сăвва ăста,nonetype,мастер читать стихи ,,
,доска умĕнче,nonetype,у доски ,,
,куртка,nonetype,куртка ,,
,авалхи,nonetype,стариный ( -ая , -ое). ,,
,манăн анне,nonetype,моя мама ,,
,унăн амăшĕ,nonetype,его ( её) мама ,,
,унăн пиччĕшĕ,nonetype,его ( её) дядя ,,
,туслă,nonetype,дружно ,,
,кашăл,nonetype,дружно ,,
,килĕшÿллĕ,nonetype,дружно ,,
,харăс,nonetype,дружно ,,
,улатакка,noun,дятел ,,
,алă,nonetype,ручной ,,
,алă çуп,nonetype,аплодировать ,,
,ан,nonetype,спускаться ,,
,шапа,noun,лягушка ,,
,чĕр чун,nonetype,зверята ,,
,е,nonetype,либо ,,
,ăс,nonetype,ум , разум ,,
,ил,nonetype,брать , взять ,,
,пирен кухня ваннойпа юнашар вырнащно.,nonetype,наша кухня находиться по соседски с ванной ,,
,здравствуйте!,nonetype,здравствуте ,,
,тав,noun,спасибо ,,
,тавтапущ,nonetype,спасибо ,,
,рахмат,noun,спасибо ,,
,тавтапуç,nonetype,спасибо ,,
,тавтапуҫ,nonetype,спасибо ,,
,Щенещул ячепе,nonetype,С новый годом ,,
,айĕнче,nonetype,под ( чем-то) ,,
,акăлчан,nonetype,англиский ,,
,аслă,nonetype,1. старший 2. широкий ,,
,çĕмĕрт,nonetype,черёмуха ,,
,ҫĕмĕрт,nonetype,черёмуха ,,
,çĕмĕрт,nonetype,черёмуха ,,
,уйăх,nonetype,лунный ,,
,ĕç,nonetype,работа , труд ,,
,шыв,noun,водный ( вода) ,,
,Эп Петяпа ларатап.Ман юлташ Коля щуменче ларать.,nonetype,Я сижу с Петей. Мой товарищ сидит рядом с Колей ,,
,акă,nonetype,вот, вон. ,,
,акăлчанла,nonetype,по-англиски ,,
,вăрă,nonetype,1. Вор 2. семя ,,
,ялан,nonetype,Всегда ,,
,ялан,adverb,Всегда ,,
,пĕрмай,nonetype,Всегда ,,
,ĕмĕр-ĕмĕр,nonetype,Всегда ,,
,костер,nonetype,кăвайт ,,
,улмуççи,nonetype,яблоня ,,
,улмуçи,nonetype,яблоня ,,
,йăмра,nonetype,ветла ,,
,йӑмра,nonetype,ветла ,,
,ĕнт,nonetype,опалить ,,
,залупа,nonetype,залупа ,,
,Ази,proper,Азия ,,
,ази,nonetype,Азия ,,
,хула,noun,город ,,
,Хула,nonetype,город ,,
,пӗлӗт,noun,облако ,,
,пĕлĕт,nonetype,облако ,,
,экономика,noun,экономика ,,
,Экономика,nonetype,экономика ,,
,пулă,noun,рыба ,,
,пулӑ,nonetype,рыба ,,
,аш,verb,мясо ,,
,какай,verb,мясо ,,
,аш-какай,nonetype,мясо ,,
,кĕвĕ,nonetype,музыка ,,
,Кĕвĕ,nonetype,музыка ,,
,сахăр,nonetype,сахар ,,
,сахӑр,noun,сахар ,,
,Сахăр,nonetype,сахар ,,
,çил,nonetype,ветер ,,
,ҫил,noun,ветер ,,
,Çил,nonetype,ветер ,,
,Хура тинĕс,proper,Черное море ,,
,юрату,noun,любовь ,,
,Юрату,nonetype,любовь ,,
,Юрату,nonetype,любовь ,,
,кофе,noun,кофе ,,
,Кофе,nonetype,кофе ,,
,ыйту,noun,вопрос ,,
,Ыйту,nonetype,вопрос ,,
,тилӗ,noun,лиса ,,
,тилĕ,nonetype,лиса ,,
,тилӗ,noun,лисица ,,
,тилӗ,noun,лис ,,
,Аргентина,proper,Аргентина ,,
,аргентина,nonetype,Аргентина ,,
,ир,noun,утро ,,
,сехет,verb,час ,,
,Сехет,nonetype,час ,,
,паллă ячĕ,noun,имя прилагательное ,,
,Паллă ячĕ,nonetype,имя прилагательное ,,
,Мускав,proper,Москва ,,
,Москва,nonetype,Москва ,,
,мускав,proper,Москва ,,
,ҫăвăрма,nonetype,проспать ,,
,çăвăрма,nonetype,спать ,,
,ҫăвăрма,nonetype,спать ,,
,çурçĕр,noun,север ,,
,Çурçĕр,nonetype,север ,,
,ҫурҫӗр,noun,север ,,
,сăмах,nonetype,слово ,,
,сӑмах,noun,слово ,,
,Сăмах,nonetype,слово ,,
,ҫӑмах,nonetype,слово ,,
,Хĕрлĕ тинĕс,proper,Красное море ,,
,хĕрлĕ тинĕс,nonetype,Красное море ,,
,Лăпкă океан,proper,Тихий океан ,,
,лăпкă океан,nonetype,Тихий океан ,,
,Дани,proper,Дания ,,
,дани,nonetype,Дания ,,
,Аслă Британи,proper,Великобритания ,,
,Аслӑ Британи,nonetype,Великобритания ,,
,Великобритани,nonetype,Великобритания ,,
,аслă британи,nonetype,Великобритания ,,
,Аслă Британи,proper,Соединённое Королевство Великобритании и Северной Ирландии ,,
,носорог,noun,носорог ,,
,Мексика,nonetype,Мексика ,,
,мексика,nonetype,Мексика ,,
,кашкӑр,noun,волк ,,
,кашкăр,nonetype,волк ,,
,кашкăр аçи,nonetype,волк ,,
,пылак,nonetype,сладкий ,,
,тутлӑ,nonetype,сладкий ,,
,тутлă,nonetype,сладкий ,,
,математика,noun,математика ,,
,Математика,nonetype,математика ,,
,лингвистика,noun,лингвистика ,,
,Лингвистика,nonetype,лингвистика ,,
,вилӗм,noun,смерть ,,
,вилĕм,nonetype,смерть ,,
,иҫӗм,noun,виноградина ,,
,Чăваш Республики,nonetype,Чувашская Республика ,,
,Чăваш Республики,nonetype,Чувашская Республика ,,
,Кабардино-Балкари Республики,nonetype,Кабардино-Балкарская Республика ,,
,Удмурт Республики,nonetype,Удмуртская Республика ,,
,Биробиджа́н,nonetype,Биробиджан ,,
,Биробиджан,nonetype,Биробиджан ,,
,кишĕр,noun,морковь ,,
,ӗне,noun,корова ,,
,ĕне,nonetype,корова ,,
,nʉmʉ,nonetype,корова ,,
,Ĕне,nonetype,корова ,,
,ыхра,noun,чеснок ,,
,тӗкӗр,noun,зерцало ,,
,Бангкок,proper,Банкок ,,
,Бангкок,proper,Бангкок ,,
,бангкок,nonetype,Бангкок ,,
,Тĕркс тата Кайкос,nonetype,Тёркс и Кайкос ,,
,кĕрÿ,nonetype,жених ,,
,каччă,nonetype,жених ,,
,килсе тух,nonetype,очутиться ,,
,килĕш,nonetype,договариваться ,,
,купа,noun,груда ,,
,лапăркка,nonetype,слякотный ,,
,леç,nonetype,отвозить ,,
,леш,nonetype,None,,
,лупас аи,nonetype,поветь ,,
,лутра,adjective,низкий ,,
,лутака,nonetype,низкий ,,
,лутака,adjective,низкорослый ,,
,лутрашка,adjective,низкорослый ,,
,май,noun,метод ,,
,майăн,nonetype,по мере того как ,,
,майра,nonetype,женщина-нечувашка ,,
,мамăк,nonetype,пуховый ,,
,мамăк,nonetype,хлопчатобумажный ,,
,манса хăвар,nonetype,оставить по забывчивости ,,
,манашкал,nonetype,подобный мне ,,
,манер,noun,манера ,,
,тура,nonetype,гребень ,,
,киккирик,nonetype,гребень ,,
,килен-каян,nonetype,посетитель ,,
,лаптăк,nonetype,участок ,,
,лĕклен,nonetype,испытывать чувство тошноты ,,
,лутрашка,nonetype,низенький ,,
,майĕпен,nonetype,постепенно ,,
,майлаш,nonetype,устраиваться ,,
,ăнман,nonetype,неудачный ,,
,ăр,nonetype,неудачный ,,
,майсăр,nonetype,неудачный ,,
,малалла,nonetype,дальше ,,
,асран яр,nonetype,забывать ,,
,ман,nonetype,забывать ,,
,манса пĕт,nonetype,перезабыть ,,
,манашкал,nonetype,подобно мне ,,
,евĕр,nonetype,подобно ,,
,евĕрлĕ,nonetype,подобно ,,
,манерлĕ,nonetype,подобно ,,
,инçет,nonetype,даль ,,
,ката,nonetype,даль ,,
,катана,nonetype,даль ,,
,килен-каян,nonetype,приезжий ,,
,лапралан,nonetype,испачкаться грязью ,,
,лерелле,nonetype,в той стороне ,,
,ăсатса яр,nonetype,проводить ,,
,леç,nonetype,проводить ,,
,йĕклен,nonetype,тошнить ,,
,лĕклентер,nonetype,тошнить ,,
,лÿппер,nonetype,неповоротливый ,,
,чуман,adjective,неповоротливый ,,
,йĕркеле,nonetype,приводить в порядок ,,
,майла,nonetype,приводить в порядок ,,
,майлă,nonetype,подходяще ,,
,майсăр,nonetype,непригодный ,,
,юрăхсăр,nonetype,непригодный ,,
,манса кай,nonetype,позабыть ,,
,манах,nonetype,монах ,,
,кĕлĕ,nonetype,молитвенный ,,
,йăпан,nonetype,наслаждаться ,,
,килен,nonetype,наслаждаться ,,
,рехетлен,nonetype,наслаждаться ,,
,савăн,nonetype,наслаждаться ,,
,курланкă,nonetype,гранка ,,
,каç,nonetype,переезжать ,,
,куç,nonetype,переезжать ,,
,лери,nonetype,находящийся там ,,
,лĕкĕ,nonetype,перхоть ,,
,лĕп,nonetype,чуть теплый ,,
,лутра,adjective,невысокий ,,
,лутрашка,nonetype,коротышка ,,
,йăраланчăк,nonetype,неуклюже ,,
,кăнттам,nonetype,неуклюже ,,
,лÿппер,nonetype,неуклюже ,,
,иеркелен,nonetype,налаживаться ,,
,майлаш,nonetype,налаживаться ,,
,самайлан,nonetype,налаживаться ,,
,майлă,nonetype,подходящий ,,
,мамăк,nonetype,хлопковый ,,
,ман,nonetype,отвыкать ,,
,манах,nonetype,монашеский ,,
,асран тух,nonetype,забываться ,,
,манăç,nonetype,забываться ,,
,манер,nonetype,способ действий ,,
,манерлĕ,nonetype,сходный ,,
,аван мар,nonetype,нехорошо ,,
,маçтăр,nonetype,умелец ,,
,маттурлан,nonetype,здоровым ,,
,мачча,nonetype,потолочный ,,
,мăк,nonetype,моховой ,,
,манми,nonetype,незабываемый ,,
,маттурлан,nonetype,крепким ,,
,мăй,nonetype,шейный ,,
,мăнкăмăллан,nonetype,зазнаваться ,,
,миçери,nonetype,какого возраста ,,
,мул,nonetype,капитал ,,
,мухмăрла,nonetype,находиться в состоянии похмелья ,,
,мухта,verb,расхваливать ,,
,вăйă-кулă,nonetype,забава ,,
,мыскара,adjective,забава ,,
,намăслан,nonetype,осрамиться ,,
,Çăтăхлăх,nonetype,алчность ,,
,непĕс,nonetype,алчность ,,
,илемсĕр,nonetype,уродливый ,,
,нĕрсĕр,nonetype,уродливый ,,
,никĕс,nonetype,основа ,,
,номерле,nonetype,нумеровать ,,
,опытсăр,nonetype,неопытный ,,
,пахча çимĕç,nonetype,овощи ,,
,пăрчăкан,nonetype,трясогузка ,,
,пăслан,nonetype,парить ,,
,пăчăр,nonetype,пятнистый ,,
,ула,nonetype,пятнистый ,,
,пĕлтерÿ,nonetype,объявление ,,
,пĕр,nonetype,один и тот же ,,
,пĕрчĕ,nonetype,зернышко ,,
,пĕçĕ,nonetype,штанина ,,
,пикен,nonetype,браться за что-л. ,,
,пулă,noun,рыбий ,,
,пус,verb,ступать ,,
,путăк,nonetype,углубление ,,
,путек-сурăх,nonetype,овцы ,,
,пушă,nonetype,порожний ,,
,пÿлĕм,nonetype,помещение ,,
,пÿрлешке,nonetype,угорь ,,
,пÿрнеске,nonetype,наперсток ,,
,пылчăкла,nonetype,загрязнять ,,
,пыршă,nonetype,рукав насоса ,,
,пысăкăш,nonetype,размер ,,
,пытан,nonetype,скрываться ,,
,тарса çÿре,nonetype,скрываться ,,
,пытару,nonetype,похоронный ,,
,ремесла,nonetype,ремесленный ,,
,йĕркеллĕ,nonetype,приличный ,,
,ретлĕ,nonetype,приличный ,,
,манăç,nonetype,впадать в забытье ,,
,евĕрлĕ,nonetype,похоже ,,
,манерлĕ,nonetype,похоже ,,
,маçтăрлан,nonetype,становиться искусным в чем-л. ,,
,маттурлан,nonetype,становиться сильным ,,
,патварлан,nonetype,становиться сильным ,,
,Мăйăр,nonetype,орех ,,
,мăйăр,nonetype,орех ,,
,мӑйӑр,noun,орех ,,
,мехел,noun,возможность ,,
,намăслан,nonetype,опозориться ,,
,намăссăр,nonetype,бессовестно ,,
,непĕс,nonetype,жадность ,,
,нĕр,nonetype,пригожесть ,,
,нĕрсĕр,nonetype,уродливо ,,
,ответсăрлăх,nonetype,безответственной ,,
,палăрт,nonetype,выявлять ,,
,парăс,nonetype,парусный ,,
,пас,noun,изморозь ,,
,пата,noun,крапинка ,,
,пăрлак,nonetype,гололед ,,
,пăчăр,nonetype,крапчатый ,,
,пĕлтĕр,nonetype,прошлый год ,,
,пĕрене,nonetype,бревенчатый ,,
,пĕрлешÿ,nonetype,объединение ,,
,пĕрлĕх,nonetype,единение ,,
,пĕр-пĕр,nonetype,какой-нибудь ,,
,пĕтмĕш,nonetype,окончание ,,
,пилĕк,nonetype,поясничный ,,
,пурте,nonetype,все до одного ,,
,путар,verb,погружать ,,
,путăк,nonetype,выбоина ,,
,путлĕ,nonetype,путный ,,
,пушат,nonetype,выгружать ,,
,пÿл,nonetype,перебивать ,,
,пÿрлен,nonetype,гноиться ,,
,картиш,noun,двор ,,
,кил карти,nonetype,двор ,,
,кил-çурт,nonetype,двор ,,
,пÿрт-çурт,nonetype,двор ,,
,пылак,nonetype,сладость ,,
,кай,verb,ехать ,,
,пыр,verb,ехать ,,
,пыршă,nonetype,кишечный ,,
,пысăкăш,nonetype,величина ,,
,пысăккăн,nonetype,помногу ,,
,пытар,verb,прятать ,,
,пытару,nonetype,похороны ,,
,рахмат,nonetype,благодарю ,,
,тавтапуç,nonetype,благодарю ,,
,ăста,nonetype,мастер ,,
,ăстаçă,nonetype,мастер ,,
,маçтăр,nonetype,мастер ,,
,Вăйă ăсти,nonetype,мастер ,,
,мачча,noun,потолок ,,
,путалăх,nonetype,потолок ,,
,путалӑх,nonetype,потолок ,,
,йăсăрлан,nonetype,клубиться ,,
,мăкăрлан,nonetype,клубиться ,,
,явăн,nonetype,клубиться ,,
,минрет,nonetype,затуманивать голову ,,
,мулкач,noun,заяц ,,
,куян,nonetype,заяц ,,
,мухмăр,nonetype,похмелье ,,
,мухтав,nonetype,похвальный ,,
,вĕçкĕн,nonetype,хвастун ,,
,каппайчăк,nonetype,хвастун ,,
,мухтанчăк,nonetype,хвастун ,,
,начарланса çит,nonetype,исхудать ,,
,нĕр,nonetype,прелесть ,,
,нимĕç,nonetype,немецкий ,,
,нимĕç чĕлхи,nonetype,немецкий ,,
,палка,nonetype,говорить вздор ,,
,йăпăртлăх,nonetype,ненадолго ,,
,пăртаклăх,nonetype,ненадолго ,,
,пăслан,nonetype,испаряться ,,
,йĕс,nonetype,медный ,,
,пăхăр,noun,медный ,,
,пăшал,nonetype,ружейный ,,
,пĕрлешÿ,nonetype,содружество ,,
,пĕсехе,nonetype,зобный ,,
,пĕçертсе яр,nonetype,обварить ,,
,пике,noun,барышня ,,
,пиншак,noun,пиджак ,,
,пус,nonetype,зарезать ,,
,путăк,nonetype,вязкий ,,
,путек-сурăх,nonetype,овцы и ягнята ,,
,пÿр,nonetype,предначертать ,,
,пÿрлешке,nonetype,прыщик ,,
,пÿртум,nonetype,крыльцо ,,
,пылчăк,nonetype,грязно ,,
,пыршă,nonetype,кишка ,,
,пыршă,nonetype,шланг ,,
,пысăкăш,nonetype,объем ,,
,лăпчăн,nonetype,прятаться ,,
,пытан,verb,прятаться ,,
,пытар,verb,скрывать ,,
,тун,nonetype,скрывать ,,
,рекордлă,nonetype,рекордный ,,
,ретĕн,nonetype,в шеренгу ,,
,рехет,nonetype,наслаждение ,,
,вăтанчăк,nonetype,робость ,,
,именчĕк,nonetype,робость ,,
,мĕскĕнлĕх,nonetype,робость ,,
,хăюсăрлăх,nonetype,робость ,,
,мишер,nonetype,мишарский ,,
,мухмăр-сухмăр,nonetype,опьянение ,,
,вĕçкĕнлен,nonetype,хвалиться ,,
,каппай,nonetype,хвалиться ,,
,мухтан,nonetype,хвалиться ,,
,начаркка,adjective,плоховато ,,
,ним,noun,ничто ,,
,номерлĕ,nonetype,номерной ,,
,паллă,nonetype,отметка ,,
,пархатар,nonetype,толк ,,
,паттăрлăх,nonetype,доблесть ,,
,пăшăрхан,nonetype,переживать ,,
,пĕлÿ,nonetype,образование ,,
,пĕр,nonetype,некий ,,
,пĕрпеклĕх,nonetype,тождество ,,
,пилĕк,nonetype,поясница ,,
,пус,verb,надавливать ,,
,пуçне,nonetype,исключая ,,
,путăк,nonetype,впадина ,,
,пÿл,nonetype,преграждать ,,
,кача пÿрне,nonetype,мизинец ,,
,пÿрт-çурт,nonetype,хозяйство ,,
,хуçалăх,nonetype,хозяйство ,,
,пыршă-аршă,nonetype,потроха ,,
,пысăккăн,nonetype,крупно ,,
,пысăклан,nonetype,подрастать ,,
,пытар,nonetype,таить ,,
,ракатка,nonetype,частокол ,,
,рельслă,nonetype,рельсовый ,,
,ĕретĕн,nonetype,в ряд ,,
,ретĕн,nonetype,в ряд ,,
,рехет,nonetype,блаженство ,,
,савни,nonetype,милая ,,
,сĕт,nonetype,молочный ,,
,сĕтлĕ,nonetype,молочный ,,
,сиксе чĕтре,nonetype,быть охваченным крупной дрожью ,,
,сунар,noun,охота ,,
,Сунар,nonetype,охота ,,
,савни,nonetype,милый ,,
,сивĕ,nonetype,студеный ,,
,сунарçă,nonetype,охотничий. ,,
,сур,nonetype,ломить ,,
,ертсе пыр,nonetype,вести ,,
,савăт,nonetype,вести ,,
,çапах,nonetype,тем не менее ,,
,çапăçу,nonetype,сражение ,,
,çăвăн,nonetype,мыться ,,
,çăкăр чĕлли,nonetype,ломоть хлеба ,,
,çăл,nonetype,П спасать ,,
,çăлкуç,nonetype,ключевой ,,
,çăлтăрлă,nonetype,со звездой ,,
,çăмăл,nonetype,ловко ,,
,вăр-вар,nonetype,ловко ,,
,йăпăр-япăр,nonetype,ловко ,,
,çăмăллан,nonetype,вести себя развязно ,,
,çăпан,nonetype,нарыв ,,
,çемçе,nonetype,свежеиспеченный ,,
,тирпей-илем,nonetype,благоустройство ,,
,усал,nonetype,бедствие ,,
,хĕç-пăшал,nonetype,оружие ,,
,хурăн хуппи,nonetype,береста ,,
,чăхăмăç,nonetype,упрямый ,,
,самай,adverb,изрядно ,,
,чылай,nonetype,изрядно ,,
,ĕнтĕрке,nonetype,мерзнуть ,,
,кÿт,nonetype,мерзнуть ,,
,шăн,nonetype,мерзнуть ,,
,шăрат,nonetype,плавить ,,
,шăртлантар,nonetype,раздражать ,,
,шăтăкла,nonetype,П рыть ,,
,шиклĕ,nonetype,опасливый ,,
,сĕмсĕрлен,nonetype,быть наглым ,,
,сулхăн,nonetype,свежесть ,,
,арча,noun,сундук ,,
,сунтăх,nonetype,сундук ,,
,суту-илÿ,nonetype,торговля ,,
,çапса антар,nonetype,сбить с ног ,,
,çапăç,nonetype,драться ,,
,çăвăр,nonetype,детва ,,
,çăкăр-тăвар,nonetype,хлеб-соль ,,
,çăлăнăç,nonetype,спасение ,,
,ҫӑмарта,noun,яйцо ,,
,çăмарта,nonetype,яйцо ,,
,Çăмарта,nonetype,яйцо ,,
,çăмăллан,nonetype,становиться нетрудным ,,
,çăмăлттай,nonetype,несерьезный ,,
,çăрал,nonetype,сгущаться ,,
,йăвăлан,nonetype,сгущаться ,,
,тĕвĕле,nonetype,делать узел ,,
,хашак,nonetype,наличник ,,
,хыпар,noun,весть ,,
,черкке,nonetype,чарка ,,
,шăрăхлан,nonetype,становиться жарким ,,
,шĕпĕртет,nonetype,накрапывать ,,
,ылтăн,noun,золотой ,,
,юн,nonetype,кровяной ,,
,сунасла,nonetype,чихать ,,
,çапса антар,nonetype,свалить ,,
,çапăн,nonetype,удариться ,,
,çапăçу,nonetype,битва ,,
,çапла,nonetype,этакий ,,
,капла,adjective,этакий ,,
,çăвар,nonetype,пасть ,,
,ҫӑвар,noun,пасть ,,
,çăкăр-тăвар,nonetype,угощение ,,
,çăмăллан,nonetype,рожать ,,
,çăмăлттай,nonetype,легкомысленный ,,
,çекĕл,nonetype,крючок ,,
,çĕнетÿ,nonetype,обновление ,,
,çуркалан,nonetype,потрескаться ,,
,вакланчăк,nonetype,крошки ,,
,тĕпренчĕк,nonetype,крошки ,,
,хăлхасăрлан,nonetype,глохнуть ,,
,хулран тытса пыр,nonetype,вести кого-л. под руку ,,
,чалăш,nonetype,скос ,,
,чăркăш,nonetype,скандалить ,,
,чĕрт,nonetype,оживлять ,,
,чиперкке,nonetype,красотка ,,
,шăлан,nonetype,шиповник ,,
,шăрăхлан,nonetype,знойным ,,
,шăрчăк,nonetype,нервный ,,
,шиклентер,nonetype,вызывать сомнение ,,
,ыйхă,nonetype,дрема ,,
,юпă,nonetype,развилка ,,
,ĕнер,nonetype,ремесло ,,
,ремесла,nonetype,ремесло ,,
,ретлĕ,nonetype,прилично ,,
,савала,nonetype,строгать ,,
,савăт,nonetype,сосуд ,,
,сий,noun,слой ,,
,кайăкçă,nonetype,охотник ,,
,сунарçă,nonetype,охотник ,,
,суран,nonetype,больное место ,,
,çамрăклăх,nonetype,молодые годы ,,
,çапах,nonetype,все же ,,
,çапăç,nonetype,воевать ,,
,вăрç,nonetype,воевать ,,
,çатма,nonetype,сковорода ,,
,Çатма,nonetype,сковорода ,,
,çăвăн,nonetype,купаться ,,
,çăкăр,nonetype,хлеб ,,
,ҫӑкӑр,nonetype,хлеб ,,
,çăлăнăç,nonetype,избавление ,,
,çăм,nonetype,шерстяной ,,
,çăмăллăх,nonetype,облегчение ,,
,çĕмрĕк,nonetype,сломанный ,,
,хуçăк,nonetype,сломанный ,,
,çул çинче,nonetype,на дороге ,,
,çÿрет,nonetype,водить ,,
,упа ашĕ,nonetype,медвежатина ,,
,харкашу,nonetype,разлад ,,
,вĕрилен,nonetype,нагреваться ,,
,хĕр,nonetype,нагреваться ,,
,хыт,nonetype,грубеть ,,
,чаршав,noun,занавес ,,
,шăн,nonetype,стыть ,,
,шăпчăк,nonetype,соловьиный ,,
,шăрттан,nonetype,шыртан ,,
,шăршлă,nonetype,издающий какой-то запах ,,
,шыв-шур,nonetype,водоемы ,,
,ыталан,nonetype,обниматься ,,
,ҫӑмӑл,adjective,лёгкий ,,
,çÿхе,nonetype,лёгкий ,,
,çăмăл,nonetype,лёгкий ,,
,ансат,nonetype,лёгкий ,,
,çук,nonetype,нет ,,
,аюк,nonetype,нет ,,
,хĕрлĕ,adjective,красный ,,
,сарă,nonetype,красный ,,
,хура,noun,чёрный ,,
,хура,noun,чёрный ,,
,милдью,nonetype,мучнистая роса ,,
,Милдью,nonetype,мучнистая роса ,,
,юрлама пĕлсен кăна,nonetype,если знаешь, как петь ,,
,у нас,nonetype,У нас ,,
,Австри,proper,Австрия ,,
